2012-06-01 05:52:21.084337,M012,ON
2012-06-01 05:52:21.305899,M015,ON
2012-06-01 05:52:25.918646,M016,ON
2012-06-01 05:54:26.326405,M012,ON
2012-06-01 05:54:29.323252,M012,ON
2012-06-01 05:54:29.437745,M015,ON
2012-06-01 07:18:24.373160,M015,ON
2012-06-01 07:18:25.917665,M012,ON
2012-06-01 07:18:35.600052,M015,ON
2012-06-01 07:18:36.947994,M012,ON
2012-06-01 07:18:40.102473,M014,ON
2012-06-01 07:18:41.636629,M012,ON
2012-06-01 07:18:41.782944,M014,ON
2012-06-01 07:18:48.387316,M012,ON
2012-06-01 07:18:50.147046,M012,ON
2012-06-01 07:18:51.206370,M015,ON
2012-06-01 07:18:57.950469,M012,ON
2012-06-01 07:18:58.095334,M015,ON
2012-06-01 07:19:03.197224,M012,ON
2012-06-01 07:19:04.117114,M015,ON
2012-06-01 07:19:47.260438,M015,ON
2012-06-01 07:19:48.194195,M012,ON
2012-06-01 07:19:51.841924,M016,ON
2012-06-01 07:21:27.586527,M012,ON
2012-06-01 07:21:28.688510,M015,ON
2012-06-01 07:21:30.748216,M015,ON
2012-06-01 07:22:05.384858,M015,ON
2012-06-01 07:22:06.188224,M012,ON
2012-06-01 07:22:16.529482,M015,ON
2012-06-01 07:22:16.586859,M012,ON
2012-06-01 07:22:34.074161,M015,ON
2012-06-01 07:22:34.493059,M012,ON
2012-06-01 07:22:45.058460,M012,ON
2012-06-01 07:22:45.207061,M015,ON
2012-06-01 07:31:07.535274,M012,ON
2012-06-01 07:31:12.129072,M016,ON
2012-06-01 07:33:19.242681,M012,ON
2012-06-01 07:33:58.813626,M015,ON
2012-06-01 07:34:03.255932,M015,ON
2012-06-01 07:34:03.384793,M012,ON
2012-06-01 07:34:07.587728,M015,ON
2012-06-01 07:34:09.883955,M012,ON
2012-06-01 07:35:26.368533,M012,ON
2012-06-01 07:35:27.538100,M015,ON
2012-06-01 07:35:31.675367,M012,ON
2012-06-01 07:35:34.413711,M015,ON
2012-06-01 07:35:55.806077,M012,ON
2012-06-01 07:36:00.493704,M012,ON
2012-06-01 07:36:03.094662,M014,ON
2012-06-01 07:37:08.574667,M012,ON
2012-06-01 07:38:08.867428,M016,ON
2012-06-01 07:41:31.276925,M012,ON
2012-06-01 07:42:32.157712,M014,ON
2012-06-01 07:44:36.992479,M014,ON
2012-06-01 07:44:38.007990,M012,ON
2012-06-01 07:44:42.370286,M016,ON
2012-06-01 07:44:59.174830,M012,ON
2012-06-01 07:45:01.931978,M014,ON
2012-06-01 07:45:14.355842,M012,ON
2012-06-01 07:45:17.725461,M016,ON
2012-06-01 08:17:43.034719,M012,ON
2012-06-01 08:17:49.388507,M014,ON
2012-06-01 08:18:28.167438,M012,ON
2012-06-01 08:18:35.972263,M016,ON
2012-06-01 09:31:43.592384,M012,ON
2012-06-01 09:31:46.527448,M014,ON
2012-06-01 09:31:52.799461,M012,ON
2012-06-01 09:31:56.509977,M016,ON
2012-06-01 09:38:49.963693,M012,ON
2012-06-01 09:38:52.754024,M014,ON
2012-06-01 09:40:02.847548,M012,ON
2012-06-01 09:40:07.157341,M016,ON
2012-06-01 09:56:43.473729,M012,ON
2012-06-01 09:56:47.537045,M014,ON
2012-06-01 09:58:03.922686,M012,ON
2012-06-01 09:58:08.590574,M016,ON
2012-06-01 10:00:38.819235,M012,ON
